date,avg_sentiment_score,open,high,low,close,volume,price_change,Bearish,Bullish,Neutral
2025-07-18,0.703279587355527,119284.109375,120851.9140625,116925.984375,118003.2265625,77945799785.0,-1280.8828125,0,0,1
2025-07-17,0.6557637304067612,118738.5078125,120999.609375,117508.21875,119289.84375,72363841798.0,551.3359375,0,1,0
2025-07-16,0.7259262154499689,117777.1875,120065.515625,117064.8203125,118738.5078125,72162029070.0,961.3203125,0,0,1
2025-07-15,0.7260598081808823,119853.8515625,119935.5625,115765.6875,117777.1875,98321661181.0,-2076.6640625,0,0,1
2025-07-14,0.6770264960470653,119115.7890625,123091.609375,118959.1953125,119849.703125,181746419401.0,733.9140625,0,0,1
2025-07-13,0.6884157508611679,117432.203125,119449.5703125,117265.4375,119116.1171875,49021091807.0,1683.9140625,0,0,1
2025-07-12,0.6803826424810622,117530.7109375,118219.8984375,116977.0234375,117435.2265625,45524560304.0,-95.484375,0,0,1
2025-07-11,0.6557564895886642,115986.234375,118856.4765625,115245.6875,117516.9921875,86928361085.0,1530.7578125,0,0,1
2025-07-10,0.8089386766607111,111329.1953125,116608.78125,110660.75,115987.203125,95911605728.0,4658.0078125,0,0,1
2025-07-09,0.8720800379912058,108950.2734375,111925.375,108357.6796875,111326.5546875,57927418065.0,2376.28125,0,0,1
2025-07-08,0.7048229668289423,108298.2265625,109198.96875,107499.5546875,108950.2734375,44282204127.0,652.046875,0,0,1
2025-07-07,0.7717837445876178,109235.328125,109710.25,107527.0546875,108299.8515625,45415696597.0,-935.4765625,0,0,1
2025-07-06,0.8919396996498108,108231.1875,109731.625,107847.015625,109232.0703125,36746020463.0,1000.8828125,0,0,1
2025-07-05,0.8717511892318726,108015.8359375,108381.34375,107842.2734375,108231.1796875,30615537520.0,215.34375,0,0,1
2025-07-04,0.8079687654972076,109635.65625,109751.984375,107296.3828125,108034.3359375,42616442656.0,-1601.3203125,0,0,1
2025-07-03,0.9905340671539307,108845.015625,110541.4609375,108605.796875,109647.9765625,50494742270.0,802.9609375,0,0,1
2025-07-02,0.8661321798960367,105703.1015625,109763.65625,105157.3984375,108859.3203125,56248657737.0,3156.21875,0,0,1
2025-07-01,0.8806557754675547,107144.3828125,107550.6796875,105270.2265625,105698.28125,44110692247.0,-1446.1015625,0,0,1
2025-06-30,0.9018499576128446,108383.4375,108798.7890625,106759.6484375,107135.3359375,42064804590.0,-1248.1015625,0,0,1
2025-06-29,0.9761201739311218,107327.8203125,108526.3046875,107230.109375,108385.5703125,35534874438.0,1057.75,0,0,1
2025-06-28,0.9130008816719055,107090.546875,107567.8828125,106883.9765625,107327.703125,30037708335.0,237.15625,0,0,1
2025-06-27,0.7335985779762269,106954.921875,107772.46875,106449.9921875,107088.4296875,45353692675.0,133.5078125,0,0,1
2025-06-26,0.8246102631092072,107375.0703125,108305.546875,106666.3515625,106960.0,43891990613.0,-415.0703125,0,0,1
2025-06-25,0.7643171846866608,106047.40625,108168.3984375,105881.390625,107361.2578125,51624120283.0,1313.8515625,0,0,1
2025-06-24,0.9181357622146606,105571.515625,106316.828125,104740.2421875,106045.6328125,48822986421.0,474.1171875,0,0,1
2025-06-23,0.7633334472775459,100987.4765625,106116.859375,99705.75,105577.7734375,65237759656.0,4590.296875,0,0,1
2025-06-21,0.7774697542190552,103315.078125,104015.78125,100973.0625,102257.40625,38360555118.0,-1057.671875,0,0,1
2025-06-20,0.9781379401683807,104681.03125,106539.3828125,102372.2109375,103309.6015625,50951862476.0,-1371.4296875,0,0,1
2025-06-19,0.8975144624710083,104886.7734375,105250.890625,103940.7734375,104684.2890625,37333806920.0,-202.484375,0,0,1
2025-06-18,0.8677477687597275,104602.0703125,105581.8515625,103602.265625,104883.328125,47318089133.0,281.2578125,0,0,1
2025-06-17,0.7795450458159814,106794.1171875,107750.1953125,103396.53125,104601.1171875,55964092176.0,-2193.0,0,0,1
2025-06-16,0.8113119602203369,105555.59375,108915.375,104997.625,106796.7578125,50366626945.0,1241.1640625,0,0,1
